Locations of each point along axis of the fairway of the Waal River (Netherlands)
column names refer to M: distance along the axis, X: x-coordinate, Y: y-coordinate
index column gives the index of the point along the axis of the fairway
Index column links the locations to the bed elevation and dates
XY locations given in RDNew reference system (crs code: EPSG:28992)

,M,X,Y
0,0.0,178905.72065408528,433079.68194973096
1,0.9999999958847868,178904.73403278738,433079.8449785821
2,1.9999999985446175,178903.7474114783,433080.0080074072
3,2.9999999993509867,178902.76079017296,433080.17103624344
4,3.999999997089235,178901.77416887134,433080.3340650834
5,4.999999990544703,178900.78754757345,433080.49709391966
6,5.999999995633853,178899.80092626438,433080.66012275964
7,7.000000000115673,178898.8143049553,433080.8231515959
8,8.000000000922043,178897.82768364996,433080.98618043214
9,8.999999998660291,178896.84106234834,433081.1492092721
10,9.99999999946666,178895.854441043,433081.31223810837
11,10.999999996597579,178894.86781974137,433081.4752669446
12,12.000000001686729,178893.8811984323,433081.6382957846
13,12.999999995142197,178892.8945771344,433081.80132462084
14,13.999999999624016,178891.90795582533,433081.9643534571
15,15.000000001037716,178890.92133451998,433082.12738229707
16,15.999999998168635,178889.93471321836,433082.2904111333
17,16.999999998975003,178888.94809191301,433082.45343996957
18,17.99999999671325,178887.9614706114,433082.61646880955
19,19.00000000119507,178886.97484930232,433082.7794976458
20,19.999999995257866,178885.98822800443,433082.9425264858
21,20.999999999739686,178885.00160669535,433083.105555322
22,22.000000000546056,178884.01498539,433083.2685841583
23,22.999999998284302,178883.0283640884,433083.43161299825
24,23.999999999090672,178882.04174278304,433083.5946418345
25,24.99999999622159,178881.05512148142,433083.75767067075
26,25.99999999763529,178880.06850017607,433083.9206995107
27,27.00000000211711,178879.081878867,433084.083728347
28,27.999999999248026,178878.09525756538,433084.2467571832
29,29.000000000661725,178877.10863626003,433084.4097860232
30,29.999999997792642,178876.1220149584,433084.57281485945
31,30.99999999920634,178875.13539365306,433084.7358436994
32,31.99999999633726,178874.14877235144,433084.8988725357
33,32.999999997143625,178873.1621510461,433085.0619013719
34,34.000000002232774,178872.17552973703,433085.2249302119
35,34.99999999568824,178871.18890843913,433085.38795904815
36,36.00000000017006,178870.20228713006,433085.5509878844
37,36.99999999790831,178869.21566582844,433085.7140167244
38,37.99999999871468,178868.2290445231,433085.8770455606
39,38.9999999958456,178867.24242322147,433086.0400743969
40,39.99999999482998,178866.25580191612,433086.20310322195
41,40.9999999993118,178865.26918060705,433086.3661320582
