datum_tijd,Q
2009-08-22,1237.44
2009-08-23,1208.76
2009-08-24,1183.76
2009-08-25,1160.32
2009-08-26,1136.04
2009-08-27,1113.2
2009-08-28,1079.64
2009-08-29,1056.12
2009-08-30,1040.12
2009-08-31,1019.64
2009-09-01,1003.76
2009-09-02,990.4
2009-09-03,970.88
2009-09-04,964.08
2009-09-05,973.92
2009-09-06,963.92
2009-09-07,974.16
2009-09-08,1019.0
2009-09-09,1042.28
2009-09-10,1052.44
2009-09-11,1023.6
2009-09-12,991.64
2009-09-13,962.28
2009-09-14,926.96
2009-09-15,906.96
2009-09-16,892.76
2009-09-17,893.84
2009-09-18,890.2
2009-09-19,876.92
2009-09-20,858.4
2009-09-21,837.64
2009-09-22,822.12
2009-09-23,815.96
2009-09-24,808.6
2009-09-25,802.28
2009-09-26,795.4
2009-09-27,778.32
2009-09-28,759.32
2009-09-29,752.2
2009-09-30,748.44
2009-10-01,742.64
2009-10-02,747.44
2009-10-03,745.52
2009-10-04,747.32
2009-10-05,726.48
2009-10-06,713.24
2009-10-07,721.76
2009-10-08,774.6
2009-10-09,842.2
2009-10-10,859.04
2009-10-11,844.88
2009-10-12,853.76
2009-10-13,867.96
2009-10-14,897.68
2009-10-15,924.76
2009-10-16,946.44
2009-10-17,950.08
2009-10-18,931.92
2009-10-19,910.32
2009-10-20,887.36
2009-10-21,876.64
2009-10-22,875.92
2009-10-23,881.32
2009-10-24,875.88
2009-10-25,861.84
2009-10-26,849.92
2009-10-27,844.2
2009-10-28,845.68
2009-10-29,850.88
2009-10-30,846.8
2009-10-31,831.32
2009-11-01,818.52
2009-11-02,815.0
2009-11-03,825.32
2009-11-04,856.64
2009-11-05,904.28
2009-11-06,962.84
2009-11-07,1035.36
2009-11-08,1128.36
2009-11-09,1181.56
2009-11-10,1199.16
2009-11-11,1196.44
2009-11-12,1235.72
2009-11-13,1308.2
2009-11-14,1337.84
2009-11-15,1306.48
2009-11-16,1241.08
2009-11-17,1188.04
2009-11-18,1145.0
2009-11-19,1145.12
2009-11-20,1213.64
2009-11-21,1299.92
2009-11-22,1328.12
2009-11-23,1317.72
2009-11-24,1338.0
2009-11-25,1386.32
2009-11-26,1400.96
2009-11-27,1438.32
2009-11-28,1510.96
2009-11-29,1592.32
2009-11-30,1634.52
2009-12-01,1637.88
2009-12-02,1602.2
2009-12-03,1583.28
2009-12-04,1558.48
